git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc,developers,repositories,developers_pc,repositories_pc,pushes_perdev
12507,SY,2020,3,0,0,0,0,0,3,22964324,0.0005446273968264862,17358,17103,0.0007558681021919043,0.0007447639216377542,0.720532319391635
12172,CI,2020,3,1,0,0,0,0,3,23821000,0.0005109777087443853,19588,29011,0.0008222996515679442,0.0012178749842575878,0.6214008576679599
11152,RE,2020,3,0,0,0,0,0,3,840974,0.013260814246338175,7139,11364,0.008488966365190838,0.013512902895927817,1.5621235467152261
11099,AO,2020,3,1,0,0,0,0,3,24383301,0.0004551885735241508,9402,13709,0.00038559176216542627,0.00056222904355731,1.1804935120187194
10496,MU,2020,3,1,0,0,0,0,3,1261208,0.008322180005201362,12663,24837,0.010040373990650234,0.01969302446543314,0.8288715154386797
10421,ME,2020,3,1,0,0,0,0,3,602445,0.01729784461652101,6277,13156,0.010419208392467362,0.021837678128293868,1.6601879878923052
10117,MN,2020,3,1,0,0,0,0,3,2987733,0.003386179420985744,16783,24090,0.005617302483187085,0.008062969482212768,0.6028123696597748
9536,TT,2020,3,1,0,0,0,0,3,1328019,0.007180620156789925,10915,14232,0.008219008914782092,0.010716714143397045,0.8736601007787449
8642,MZ,2020,3,1,0,0,0,0,3,25041922,0.0003451013065211209,7439,13067,0.00029706186290333466,0.0005218049956389131,1.1617152843124077
8122,BH,2020,3,0,0,0,0,0,3,1316500,0.006169388530193695,12182,14495,0.009253323205469047,0.011010254462590201,0.6667213922180266
7717,SD,2020,3,0,0,0,0,0,3,37289406,0.00020694885834330532,13543,15769,0.0003631862626076693,0.00042288150151815237,0.5698146644022742
7318,OM,2020,3,1,0,0,0,0,3,4089076,0.0017896463650956841,17532,16291,0.0042875211906063864,0.003984029643860862,0.4174081679215149
7252,CD,2020,3,0,0,0,0,0,3,69360000,0.00010455594002306806,7028,11149,0.00010132641291810842,0.0001607410611303345,1.0318725099601593
5908,BJ,2020,3,1,0,0,0,0,3,9988068,0.0005915057847023068,8303,10814,0.0008312918974920875,0.0010826918679368222,0.7115500421534385
5676,ZM,2020,3,1,0,0,0,0,3,15023315,0.000377812753044185,9033,13986,0.000601265433095159,0.0009309529887378385,0.6283626702092329
5089,TJ,2020,3,0,0,0,0,0,3,8161000,0.0006235755422129641,3194,6176,0.00039137360617571377,0.0007567700036760201,1.5932999373825925
4896,LA,2020,3,0,0,0,0,0,3,6693300,0.0007314777464031196,7180,9747,0.0010727145055503264,0.0014562323517547397,0.6818941504178273
4167,MV,2020,3,1,0,0,0,0,3,341256,0.01221077431605598,4861,6221,0.014244438193028107,0.018229716107555617,0.8572310224233697
3922,HT,2020,3,1,0,0,0,0,3,10745665,0.0003649843913801519,5160,18093,0.00048019364087750733,0.001683748748914097,0.7600775193798449
3231,BW,2020,3,1,0,0,0,0,3,2024904,0.0015956312002939398,5416,5714,0.002674694701575976,0.002821862172231375,0.5965657311669128
3197,TG,2020,3,1,0,0,0,0,3,6993000,0.0004571714571714572,6279,7404,0.0008978978978978979,0.0010587730587730587,0.5091575091575091
